model_id,model_name,sample_count,model_desc
1,AM2,2,all_multiple_02
2,AM5,5,all_multiple_05
3,AM10,10,all_multiple_10
4,AM35,35,all_multiple_35
5,AM70,70,all_multiple_70
6,AS2,2,all_straight_02
7,AS5,5,all_straight_05
8,AS10,10,all_straight_10
9,AS35,35,all_straight_35
10,AS70,70,all_straight_70
11,FM2,2,female_multiple_02
12,FM5,5,female_multiple_05
13,FM10,10,female_multiple_10
14,FM35,35,female_multiple_35
15,FM70,70,female_multiple_70
16,FS2,2,female_straight_02
17,FS5,5,female_straight_05
18,FS10,10,female_straight_10
19,FS35,35,female_straight_35
20,FS70,70,female_straight_70
21,MM2,2,male_multiple_02
22,MM5,5,male_multiple_05
23,MM10,10,male_multiple_10
24,MM35,35,male_multiple_35
25,MM70,70,male_multiple_70
26,MS2,2,male_straight_02
27,MS5,5,male_straight_05
28,MS10,10,male_straight_10
29,MS35,35,male_straight_35
30,MS70,70,male_straight_70
31,M2,2,multiple_02
32,M5,5,multiple_05
33,M10,10,multiple_10
34,M35,35,multiple_35
35,M70,70,multiple_70
36,S2,2,straight_02
37,S5,5,straight_05
38,S10,10,straight_10
39,S35,35,straight_35
40,S70,70,straight_70
